1698.00,M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)
4194.80,M9 刺刀（★ StatTrak™） | 传说 (久经沙场)
9339.65,M9 刺刀（★ StatTrak™） | 传说 (略有磨损)
1600.00,M9 刺刀（★ StatTrak™） | 噩梦之夜 (久经沙场)
1698.00,M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)
4194.80,M9 刺刀（★ StatTrak™） | 传说 (久经沙场)
9339.65,M9 刺刀（★ StatTrak™） | 传说 (略有磨损)
1600.00,M9 刺刀（★ StatTrak™） | 噩梦之夜 (久经沙场)
1514.00,M9 刺刀（★ StatTrak™） | 外表生锈 (战痕累累)
3260.00,M9 刺刀（★ StatTrak™） | 多普勒 (崭新出厂)
5700.00,M9 刺刀（★ StatTrak™） | 渐变之色 (崭新出厂)
2400.00,M9 刺刀（★ StatTrak™） | 澄澈之水 (崭新出厂)
3328.67,M9 刺刀（★ StatTrak™） | 自动化 (久经沙场)
1720.00,M9 刺刀（★ StatTrak™） | 自由之手 (久经沙场)
1550.00,M9 刺刀（★ StatTrak™） | 致命紫罗兰 (久经沙场)
1399.00,M9 刺刀（★ StatTrak™） | 都市伪装 (久经沙场)
2460.00,M9 刺刀（★ StatTrak™） | 黑色层压板 (久经沙场)
2399.99,M9 刺刀（★ StatTrak™） | 黑色层压板 (破损不堪)
1560.00,M9 刺刀（★） | 人工染色 (略有磨损)
4437.03,M9 刺刀（★） | 传说 (久经沙场)
12899.99,M9 刺刀（★） | 传说 (崭新出厂)
2220.00,M9 刺刀（★） | 传说 (战痕累累)
9690.00,M9 刺刀（★） | 传说 (略有磨损)
3041.90,M9 刺刀（★） | 传说 (破损不堪)
4194.66,M9 刺刀（★） | 伽玛多普勒 (崭新出厂)
5500.00,M9 刺刀（★） | 伽玛多普勒 (略有磨损)
1374.00,M9 刺刀（★） | 北方森林 (久经沙场)
1595.40,M9 刺刀（★） | 噩梦之夜 (久经沙场)
1440.00,M9 刺刀（★） | 噩梦之夜 (战痕累累)
1500.00,M9 刺刀（★） | 外表生锈 (战痕累累)
3195.80,M9 刺刀（★） | 多普勒 (崭新出厂)
3200.00,M9 刺刀（★） | 多普勒 (略有磨损)
1793.50,M9 刺刀（★） | 大马士革钢 (久经沙场)
2177.00,M9 刺刀（★） | 大马士革钢 (崭新出厂)
1950.04,M9 刺刀（★） | 大马士革钢 (略有磨损)
1717.28,M9 刺刀（★） | 大马士革钢 (破损不堪)
3070.00,M9 刺刀（★） | 屠夫 (略有磨损)
1234.00,M9 刺刀（★） | 枯焦之色 (久经沙场)
1350.00,M9 刺刀（★） | 枯焦之色 (略有磨损)
1200.00,M9 刺刀（★） | 枯焦之色 (破损不堪)
1265.00,M9 刺刀（★） | 森林 DDPAT (久经沙场)
1465.00,M9 刺刀（★） | 森林 DDPAT (略有磨损)
2498.80,M9 刺刀（★） | 深红之网 (久经沙场)
45000.00,M9 刺刀（★） | 深红之网 (崭新出厂)
1999.00,M9 刺刀（★） | 深红之网 (战痕累累)
6872.12,M9 刺刀（★） | 深红之网 (略有磨损)
2013.96,M9 刺刀（★） | 深红之网 (破损不堪)
5443.55,M9 刺刀（★） | 渐变之色 (崭新出厂)
5190.00,M9 刺刀（★） | 渐变大理石 (崭新出厂)
1799.99,M9 刺刀（★） | 澄澈之水 (久经沙场)
2416.58,M9 刺刀（★） | 澄澈之水 (崭新出厂)
2075.92,M9 刺刀（★） | 澄澈之水 (略有磨损)
1219.77,M9 刺刀（★） | 狩猎网格 (久经沙场)
1400.00,M9 刺刀（★） | 狩猎网格 (略有磨损)
3340.00,M9 刺刀（★） | 自动化 (久经沙场)
5648.00,M9 刺刀（★） | 自动化 (崭新出厂)
2850.00,M9 刺刀（★） | 自动化 (战痕累累)
4009.98,M9 刺刀（★） | 自动化 (略有磨损)
1727.00,M9 刺刀（★） | 自由之手 (久经沙场)
2130.00,M9 刺刀（★） | 自由之手 (崭新出厂)
1935.00,M9 刺刀（★） | 自由之手 (略有磨损)
1581.92,M9 刺刀（★） | 致命紫罗兰 (久经沙场)
1436.00,M9 刺刀（★） | 致命紫罗兰 (战痕累累)
2400.00,M9 刺刀（★） | 致命紫罗兰 (略有磨损)
1787.00,M9 刺刀（★） | 蓝钢 (久经沙场)
1775.00,M9 刺刀（★） | 蓝钢 (战痕累累)
1879.34,M9 刺刀（★） | 蓝钢 (略有磨损)
1750.00,M9 刺刀（★） | 蓝钢 (破损不堪)
3590.00,M9 刺刀（★） | 虎牙 (崭新出厂)
3465.00,M9 刺刀（★） | 虎牙 (略有磨损)
2041.00,M9 刺刀（★） | 表面淬火 (久经沙场)
2279.00,M9 刺刀（★） | 表面淬火 (略有磨损)
1350.00,M9 刺刀（★） | 都市伪装 (久经沙场)
2439.00,M9 刺刀（★） | 黑色层压板 (战痕累累)
2656.00,M9 刺刀（★） | 黑色层压板 (略有磨损)
2450.00,M9 刺刀（★） | 黑色层压板 (破损不堪)
2488.00,刺刀（★ StatTrak™） | 传说 (久经沙场)
3900.00,刺刀（★ StatTrak™） | 传说 (略有磨损)
3400.00,刺刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)
2550.00,刺刀（★ StatTrak™） | 多普勒 (崭新出厂)
1490.00,刺刀（★ StatTrak™） | 大马士革钢 (久经沙场)
1550.00,刺刀（★ StatTrak™） | 大马士革钢 (略有磨损)
2000.00,刺刀（★ StatTrak™） | 屠夫 (久经沙场)
3999.00,刺刀（★ StatTrak™） | 深红之网 (略有磨损)
1222.00,刺刀（★ StatTrak™） | 澄澈之水 (久经沙场)
1788.00,刺刀（★ StatTrak™） | 澄澈之水 (崭新出厂)
1490.00,刺刀（★ StatTrak™） | 澄澈之水 (略有磨损)
2150.00,刺刀（★ StatTrak™） | 自动化 (久经沙场)
3795.00,刺刀（★ StatTrak™） | 自动化 (略有磨损)
1540.00,刺刀（★ StatTrak™） | 自由之手 (略有磨损)
2468.00,刺刀（★ StatTrak™） | 虎牙 (崭新出厂)
1731.55,刺刀（★ StatTrak™） | 表面淬火 (久经沙场)
1088.00,刺刀（★） | 人工染色 (久经沙场)
1134.00,刺刀（★） | 人工染色 (略有磨损)
2380.00,刺刀（★） | 传说 (久经沙场)
3815.08,刺刀（★） | 传说 (略有磨损)
2160.84,刺刀（★） | 传说 (破损不堪)
2822.00,刺刀（★） | 伽玛多普勒 (崭新出厂)
835.00,刺刀（★） | 北方森林 (久经沙场)
830.00,刺刀（★） | 北方森林 (战痕累累)
1019.87,刺刀（★） | 北方森林 (略有磨损)
859.33,刺刀（★） | 北方森林 (破损不堪)
969.00,刺刀（★） | 噩梦之夜 (久经沙场)
999.00,刺刀（★） | 噩梦之夜 (战痕累累)
1022.92,刺刀（★） | 外表生锈 (战痕累累)
2270.99,刺刀（★） | 多普勒 (崭新出厂)
2218.78,刺刀（★） | 多普勒 (略有磨损)
1275.00,刺刀（★） | 大马士革钢 (久经沙场)
1589.00,刺刀（★） | 大马士革钢 (崭新出厂)
1446.45,刺刀（★） | 大马士革钢 (略有磨损)
1715.00,刺刀（★） | 屠夫 (久经沙场)
2066.00,刺刀（★） | 屠夫 (略有磨损)
844.00,刺刀（★） | 枯焦之色 (久经沙场)
848.90,刺刀（★） | 枯焦之色 (战痕累累)
975.00,刺刀（★） | 枯焦之色 (略有磨损)
850.00,刺刀（★） | 森林 DDPAT (久经沙场)
1020.00,刺刀（★） | 森林 DDPAT (略有磨损)
1352.64,刺刀（★） | 深红之网 (久经沙场)
1320.00,刺刀（★） | 深红之网 (战痕累累)
2341.66,刺刀（★） | 深红之网 (略有磨损)
1297.70,刺刀（★） | 深红之网 (破损不堪)
3593.40,刺刀（★） | 渐变之色 (崭新出厂)
3100.00,刺刀（★） | 渐变大理石 (崭新出厂)
1198.99,刺刀（★） | 澄澈之水 (久经沙场)
1608.99,刺刀（★） | 澄澈之水 (崭新出厂)
1125.00,刺刀（★） | 澄澈之水 (战痕累累)
1339.00,刺刀（★） | 澄澈之水 (略有磨损)
1106.89,刺刀（★） | 澄澈之水 (破损不堪)
822.00,刺刀（★） | 狩猎网格 (久经沙场)
898.80,刺刀（★） | 狩猎网格 (略有磨损)
2158.00,刺刀（★） | 自动化 (久经沙场)
4350.00,刺刀（★） | 自动化 (崭新出厂)
1812.18,刺刀（★） | 自动化 (战痕累累)
2679.99,刺刀（★） | 自动化 (略有磨损)
1285.00,刺刀（★） | 自由之手 (久经沙场)
1645.00,刺刀（★） | 自由之手 (崭新出厂)
1475.00,刺刀（★） | 自由之手 (略有磨损)
1135.00,刺刀（★） | 自由之手 (破损不堪)
938.99,刺刀（★） | 致命紫罗兰 (久经沙场)
925.54,刺刀（★） | 致命紫罗兰 (战痕累累)
1336.00,刺刀（★） | 致命紫罗兰 (略有磨损)
926.00,刺刀（★） | 致命紫罗兰 (破损不堪)
1170.00,刺刀（★） | 蓝钢 (久经沙场)
1112.00,刺刀（★） | 蓝钢 (战痕累累)
1400.00,刺刀（★） | 蓝钢 (略有磨损)
1127.00,刺刀（★） | 蓝钢 (破损不堪)
2336.32,刺刀（★） | 虎牙 (崭新出厂)
2450.00,刺刀（★） | 虎牙 (略有磨损)
1533.45,刺刀（★） | 表面淬火 (久经沙场)
1948.00,刺刀（★） | 表面淬火 (略有磨损)
1339.50,刺刀（★） | 表面淬火 (破损不堪)
864.90,刺刀（★） | 都市伪装 (久经沙场)
836.82,刺刀（★） | 都市伪装 (战痕累累)
1048.00,刺刀（★） | 都市伪装 (略有磨损)
1409.75,刺刀（★） | 黑色层压板 (久经沙场)
1347.00,刺刀（★） | 黑色层压板 (战痕累累)
1480.00,刺刀（★） | 黑色层压板 (略有磨损)
1303.00,刺刀（★） | 黑色层压板 (破损不堪)
888.00,弯刀（★ StatTrak™） | 人工染色 (略有磨损)
1188.00,弯刀（★ StatTrak™） | 传说 (略有磨损)
1521.00,弯刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)
998.00,弯刀（★ StatTrak™） | 大马士革钢 (崭新出厂)
445.00,弯刀（★ StatTrak™） | 森林 DDPAT (久经沙场)
1342.66,弯刀（★ StatTrak™） | 渐变之色 (崭新出厂)
620.00,弯刀（★ StatTrak™） | 澄澈之水 (破损不堪)
500.00,弯刀（★ StatTrak™） | 狩猎网格 (久经沙场)
900.00,弯刀（★ StatTrak™） | 自动化 (久经沙场)
600.00,弯刀（★ StatTrak™） | 致命紫罗兰 (久经沙场)
566.00,弯刀（★ StatTrak™） | 黑色层压板 (战痕累累)
648.00,弯刀（★ StatTrak™） | 黑色层压板 (略有磨损)
410.50,弯刀（★） | 人工染色 (久经沙场)
498.50,弯刀（★） | 人工染色 (战痕累累)
462.57,弯刀（★） | 人工染色 (略有磨损)
780.00,弯刀（★） | 传说 (久经沙场)
1139.00,弯刀（★） | 传说 (崭新出厂)
908.00,弯刀（★） | 传说 (略有磨损)
1287.00,弯刀（★） | 伽玛多普勒 (崭新出厂)
1450.00,弯刀（★） | 伽玛多普勒 (略有磨损)
443.42,弯刀（★） | 北方森林 (久经沙场)
400.00,弯刀（★） | 北方森林 (战痕累累)
448.00,弯刀（★） | 噩梦之夜 (战痕累累)
398.50,弯刀（★） | 外表生锈 (战痕累累)
550.00,弯刀（★） | 外表生锈 (破损不堪)
1198.90,弯刀（★） | 多普勒 (崭新出厂)
578.00,弯刀（★） | 大马士革钢 (久经沙场)
710.00,弯刀（★） | 大马士革钢 (崭新出厂)
590.00,弯刀（★） | 大马士革钢 (破损不堪)
940.00,弯刀（★） | 屠夫 (崭新出厂)
847.80,弯刀（★） | 屠夫 (略有磨损)
447.60,弯刀（★） | 枯焦之色 (略有磨损)
455.00,弯刀（★） | 森林 DDPAT (略有磨损)
677.49,弯刀（★） | 深红之网 (久经沙场)
1120.99,弯刀（★） | 渐变之色 (崭新出厂)
1083.88,弯刀（★） | 渐变大理石 (崭新出厂)
506.50,弯刀（★） | 澄澈之水 (久经沙场)
659.00,弯刀（★） | 澄澈之水 (崭新出厂)
560.00,弯刀（★） | 澄澈之水 (略有磨损)
405.00,弯刀（★） | 狩猎网格 (久经沙场)
405.00,弯刀（★） | 狩猎网格 (战痕累累)
710.00,弯刀（★） | 自动化 (久经沙场)
899.00,弯刀（★） | 自动化 (略有磨损)
587.00,弯刀（★） | 自由之手 (久经沙场)
705.00,弯刀（★） | 自由之手 (崭新出厂)
640.00,弯刀（★） | 自由之手 (略有磨损)
600.00,弯刀（★） | 自由之手 (破损不堪)
472.10,弯刀（★） | 致命紫罗兰 (久经沙场)
440.00,弯刀（★） | 致命紫罗兰 (战痕累累)
610.00,弯刀（★） | 致命紫罗兰 (略有磨损)
615.00,弯刀（★） | 蓝钢 (略有磨损)
510.00,弯刀（★） | 蓝钢 (破损不堪)
916.75,弯刀（★） | 虎牙 (崭新出厂)
629.00,弯刀（★） | 表面淬火 (久经沙场)
1368.98,弯刀（★） | 表面淬火 (崭新出厂)
717.95,弯刀（★） | 表面淬火 (战痕累累)
726.00,弯刀（★） | 表面淬火 (略有磨损)
588.00,弯刀（★） | 表面淬火 (破损不堪)
411.50,弯刀（★） | 都市伪装 (久经沙场)
423.00,弯刀（★） | 都市伪装 (战痕累累)
502.43,弯刀（★） | 都市伪装 (略有磨损)
450.00,弯刀（★） | 都市伪装 (破损不堪)
950.00,弯刀（★） | 黑色层压板 (崭新出厂)
475.00,弯刀（★） | 黑色层压板 (战痕累累)
500.00,弯刀（★） | 黑色层压板 (略有磨损)
418.66,折刀（★ StatTrak™） | 北方森林 (久经沙场)
730.00,折刀（★ StatTrak™） | 多普勒 (崭新出厂)
629.00,折刀（★ StatTrak™） | 屠夫 (略有磨损)
400.00,折刀（★ StatTrak™） | 枯焦之色 (久经沙场)
1500.00,折刀（★ StatTrak™） | 深红之网 (略有磨损)
1099.00,折刀（★ StatTrak™） | 渐变之色 (崭新出厂)
397.70,折刀（★ StatTrak™） | 狩猎网格 (久经沙场)
519.99,折刀（★ StatTrak™） | 蓝钢 (战痕累累)
360.00,折刀（★） | 人工染色 (战痕累累)
325.65,折刀（★） | 北方森林 (久经沙场)
316.00,折刀（★） | 外表生锈 (战痕累累)
608.99,折刀（★） | 多普勒 (崭新出厂)
316.00,折刀（★） | 夜色 (久经沙场)
340.00,折刀（★） | 夜色 (战痕累累)
350.00,折刀（★） | 大马士革钢 (久经沙场)
380.00,折刀（★） | 大马士革钢 (崭新出厂)
578.30,折刀（★） | 屠夫 (崭新出厂)
544.44,折刀（★） | 屠夫 (略有磨损)
338.00,折刀（★） | 枯焦之色 (战痕累累)
368.25,折刀（★） | 枯焦之色 (略有磨损)
407.00,折刀（★） | 枯焦之色 (破损不堪)
300.00,折刀（★） | 森林 DDPAT (久经沙场)
572.39,折刀（★） | 深红之网 (略有磨损)
710.24,折刀（★） | 渐变之色 (崭新出厂)
590.00,折刀（★） | 渐变大理石 (崭新出厂)
316.00,折刀（★） | 狩猎网格 (久经沙场)
363.29,折刀（★） | 致命紫罗兰 (久经沙场)
335.00,折刀（★） | 致命紫罗兰 (战痕累累)
404.00,折刀（★） | 致命紫罗兰 (略有磨损)
382.00,折刀（★） | 蓝钢 (略有磨损)
450.00,折刀（★） | 蓝钢 (破损不堪)
506.96,折刀（★） | 虎牙 (崭新出厂)
448.60,折刀（★） | 表面淬火 (久经沙场)
2199.00,折刀（★） | 表面淬火 (崭新出厂)
415.00,折刀（★） | 表面淬火 (战痕累累)
509.95,折刀（★） | 表面淬火 (略有磨损)
433.26,折刀（★） | 表面淬火 (破损不堪)
1489.00,折叠刀（★ StatTrak™） | 传说 (久经沙场)
2584.41,折叠刀（★ StatTrak™） | 传说 (崭新出厂)
1800.00,折叠刀（★ StatTrak™） | 传说 (略有磨损)
2066.93,折叠刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)
1535.00,折叠刀（★ StatTrak™） | 多普勒 (崭新出厂)
750.00,折叠刀（★ StatTrak™） | 大马士革钢 (久经沙场)
1547.45,折叠刀（★ StatTrak™） | 屠夫 (略有磨损)
630.00,折叠刀（★ StatTrak™） | 枯焦之色 (久经沙场)
2629.00,折叠刀（★ StatTrak™） | 渐变之色 (崭新出厂)
850.00,折叠刀（★ StatTrak™） | 澄澈之水 (久经沙场)
1230.00,折叠刀（★ StatTrak™） | 澄澈之水 (崭新出厂)
882.73,折叠刀（★ StatTrak™） | 澄澈之水 (略有磨损)
1140.00,折叠刀（★ StatTrak™） | 自动化 (久经沙场)
1600.00,折叠刀（★ StatTrak™） | 自动化 (略有磨损)
1099.00,折叠刀（★ StatTrak™） | 致命紫罗兰 (略有磨损)
888.00,折叠刀（★ StatTrak™） | 蓝钢 (略有磨损)
1543.21,折叠刀（★ StatTrak™） | 虎牙 (崭新出厂)
995.00,折叠刀（★ StatTrak™） | 表面淬火 (久经沙场)
899.00,折叠刀（★ StatTrak™） | 黑色层压板 (战痕累累)
920.00,折叠刀（★ StatTrak™） | 黑色层压板 (略有磨损)
825.00,折叠刀（★ StatTrak™） | 黑色层压板 (破损不堪)
630.00,折叠刀（★） | 人工染色 (久经沙场)
670.50,折叠刀（★） | 人工染色 (略有磨损)
1329.00,折叠刀（★） | 传说 (久经沙场)
2345.00,折叠刀（★） | 传说 (崭新出厂)
1890.00,折叠刀（★） | 伽玛多普勒 (崭新出厂)
568.26,折叠刀（★） | 北方森林 (久经沙场)
535.00,折叠刀（★） | 北方森林 (战痕累累)
660.00,折叠刀（★） | 北方森林 (略有磨损)
715.00,折叠刀（★） | 噩梦之夜 (久经沙场)
617.00,折叠刀（★） | 外表生锈 (战痕累累)
699.00,折叠刀（★） | 外表生锈 (破损不堪)
1469.00,折叠刀（★） | 多普勒 (崭新出厂)
709.00,折叠刀（★） | 大马士革钢 (久经沙场)
835.00,折叠刀（★） | 大马士革钢 (略有磨损)
1627.00,折叠刀（★） | 屠夫 (崭新出厂)
1409.00,折叠刀（★） | 屠夫 (略有磨损)
535.00,折叠刀（★） | 枯焦之色 (久经沙场)
530.00,折叠刀（★） | 枯焦之色 (战痕累累)
630.00,折叠刀（★） | 枯焦之色 (略有磨损)
1262.00,折叠刀（★） | 深红之网 (久经沙场)
840.62,折叠刀（★） | 深红之网 (战痕累累)
2247.00,折叠刀（★） | 深红之网 (略有磨损)
2689.90,折叠刀（★） | 渐变之色 (崭新出厂)
1939.00,折叠刀（★） | 渐变大理石 (崭新出厂)
2144.00,折叠刀（★） | 渐变大理石 (略有磨损)
788.00,折叠刀（★） | 澄澈之水 (久经沙场)
913.00,折叠刀（★） | 澄澈之水 (崭新出厂)
705.99,折叠刀（★） | 澄澈之水 (破损不堪)
526.00,折叠刀（★） | 狩猎网格 (久经沙场)
548.40,折叠刀（★） | 狩猎网格 (战痕累累)
550.00,折叠刀（★） | 狩猎网格 (略有磨损)
1109.01,折叠刀（★） | 自动化 (久经沙场)
2195.80,折叠刀（★） | 自动化 (崭新出厂)
940.00,折叠刀（★） | 自动化 (战痕累累)
1350.00,折叠刀（★） | 自动化 (略有磨损)
784.81,折叠刀（★） | 自由之手 (久经沙场)
897.69,折叠刀（★） | 自由之手 (崭新出厂)
850.00,折叠刀（★） | 自由之手 (略有磨损)
990.00,折叠刀（★） | 致命紫罗兰 (略有磨损)
680.00,折叠刀（★） | 致命紫罗兰 (破损不堪)
688.12,折叠刀（★） | 蓝钢 (战痕累累)
691.00,折叠刀（★） | 蓝钢 (破损不堪)
1442.00,折叠刀（★） | 虎牙 (崭新出厂)
892.99,折叠刀（★） | 表面淬火 (久经沙场)
1599.00,折叠刀（★） | 表面淬火 (崭新出厂)
1050.00,折叠刀（★） | 表面淬火 (略有磨损)
827.84,折叠刀（★） | 表面淬火 (破损不堪)
546.00,折叠刀（★） | 都市伪装 (战痕累累)
788.88,折叠刀（★） | 黑色层压板 (久经沙场)
1200.00,折叠刀（★） | 黑色层压板 (崭新出厂)
769.00,折叠刀（★） | 黑色层压板 (战痕累累)
815.00,折叠刀（★） | 黑色层压板 (略有磨损)
752.99,折叠刀（★） | 黑色层压板 (破损不堪)
888.00,暗影双匕（★ StatTrak™） | 传说 (战痕累累)
1100.00,暗影双匕（★ StatTrak™） | 伽玛多普勒 (崭新出厂)
375.00,暗影双匕（★ StatTrak™） | 外表生锈 (战痕累累)
579.99,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场)
1197.00,暗影双匕（★ StatTrak™） | 渐变之色 (崭新出厂)
799.00,暗影双匕（★ StatTrak™） | 澄澈之水 (久经沙场)
455.00,暗影双匕（★ StatTrak™） | 致命紫罗兰 (久经沙场)
700.00,暗影双匕（★ StatTrak™） | 黑色层压板 (略有磨损)
389.00,暗影双匕（★） | 人工染色 (久经沙场)
420.00,暗影双匕（★） | 人工染色 (略有磨损)
428.64,暗影双匕（★） | 人工染色 (破损不堪)
625.00,暗影双匕（★） | 传说 (久经沙场)
749.50,暗影双匕（★） | 传说 (略有磨损)
755.00,暗影双匕（★） | 伽玛多普勒 (崭新出厂)
400.00,暗影双匕（★） | 噩梦之夜 (久经沙场)
455.00,暗影双匕（★） | 噩梦之夜 (略有磨损)
342.99,暗影双匕（★） | 外表生锈 (战痕累累)
376.42,暗影双匕（★） | 外表生锈 (破损不堪)
719.00,暗影双匕（★） | 多普勒 (崭新出厂)
393.42,暗影双匕（★） | 大马士革钢 (久经沙场)
498.50,暗影双匕（★） | 大马士革钢 (崭新出厂)
425.00,暗影双匕（★） | 大马士革钢 (略有磨损)
687.68,暗影双匕（★） | 屠夫 (崭新出厂)
590.00,暗影双匕（★） | 屠夫 (略有磨损)
400.00,暗影双匕（★） | 枯焦之色 (战痕累累)
351.00,暗影双匕（★） | 森林 DDPAT (久经沙场)
504.99,暗影双匕（★） | 深红之网 (久经沙场)
998.00,暗影双匕（★） | 深红之网 (略有磨损)
969.50,暗影双匕（★） | 渐变之色 (崭新出厂)
663.00,暗影双匕（★） | 渐变大理石 (崭新出厂)
850.00,暗影双匕（★） | 渐变大理石 (略有磨损)
436.80,暗影双匕（★） | 澄澈之水 (崭新出厂)
420.00,暗影双匕（★） | 澄澈之水 (略有磨损)
344.50,暗影双匕（★） | 狩猎网格 (久经沙场)
398.70,暗影双匕（★） | 狩猎网格 (略有磨损)
450.00,暗影双匕（★） | 自动化 (久经沙场)
